Club Speed (mph),Attack Angle (deg),Club Path (deg),Club Face (deg),Face to Path (deg),Ball Speed (mph),Smash Factor,Launch Angle (deg),Launch Direction (deg),Backspin (rpm),Sidespin (rpm),Spin Rate (rpm),Spin Rate Type,Spin Axis (deg),Apex Height (ft),Total Distance (yards),Total Deviation Angle (deg),Total Deviation Distance (yards),Air Density (g/L),Temperature (F),Air Pressure (kPA),Carry Distance (yards),Carry Deviation Angle (deg),Carry Deviation Distance (yards)
,,,0.0,,130.4581239,-58.31999969,15.27999973,-8.279999733,2294.243652,154.7967987,2299.459961,Measured,-3.859999895,70.2755908,227.2637769,-9.680000305,-38.19991284,0.9508776,69.692,80.74,220.0568692,-9.68999958,-37.04068125
,,,0.0,,117.3496758,-52.45999908,20.82999992,-5.630000114,5180.430176,-591.1513062,5214.049805,Measured,6.510000229,101.1482937,185.0831206,-3.309999943,-10.67366604,0.9508776,69.692,80.74,185.0831206,-3.299999952,-10.67366604
,,,0.0,,102.8767038,-45.99000168,24.51000023,1.080000043,4659.561523,-1402.368774,4866.02002,Measured,16.75,87.4671911,155.4461936,7.46999979,20.22090964,0.9508776,69.692,80.74,155.4461936,7.46999979,20.22090964
,,,0.0,,119.1168576,-53.25,19.19000053,-2.079999924,4752.055664,-1247.564941,4913.089844,Measured,14.71000004,92.32283264,188.5279958,3.950000048,12.98118973,0.9508776,69.692,80.74,188.5279958,3.950000048,12.98118973
62.11972083,-2.5,0.04,-7.15,-7.19,79.03096329,1.272236292,23.17000008,-5.860000134,5057.963867,949.3135986,5146.279785,Measured,-10.63000011,46.58792588,105.3040255,-9.710000038,-17.76027971,1.0863929,69.692,92.18,98.50174945,-9.449999809,-16.17454064
73.25966356,-5.44,3.73,-3.52,-7.25,93.16839998,1.271755772,17.71999931,-2.430000067,5465.48584,1423.652588,5647.859863,Measured,-14.60000038,48.98294063,125.3827663,-7.920000076,-17.26815394,1.0863929,69.692,92.18,122.7690312,-7.849999905,-16.76509178
67.98049392,-6.03,-0.84,-6.89,-6.05,92.00519208,1.353405761,17.71999931,-5.769999981,5156.865234,2371.892822,5676.189941,Measured,-24.70000076,44.75065729,122.7252857,-14.89999962,-31.55074407,1.0863929,69.692,92.18,116.8853863,-14.5,-29.25415573
69.88188976,-4.27,5.65,0.18,-5.47,88.26950404,1.26312417,21.01000023,0.850000024,5198.580566,905.4277344,5276.839844,Measured,-9.880000114,53.70735183,127.3293967,-2.779999971,-6.17891524,1.0863929,69.692,92.18,116.283904,-2.519999981,-5.107174187
75.20579814,-3.81,0.08,-11.58,-11.66,103.6596281,1.378346227,19.29000092,-9.5,5073.30127,2740.835205,5766.330078,Measured,-28.37999916,64.66535133,140.7699051,-21.76000023,-52.19816223,1.0863929,69.692,92.18,140.7699051,-21.76000023,-52.19816223
72.11882606,-1.94,-1.7,-6.44,-4.74,96.61327538,1.339640156,21.61000061,-5.510000229,6019.084961,1293.676758,6156.540039,Measured,-12.13000011,69.84908437,139.5559937,-10.90999985,-26.39982435,1.0863929,69.692,92.18,130.3915172,-11.01000023,-24.9015753
74.19917681,-1.06,2.15,-3.88,-6.03,104.375447,1.40669279,4.539999962,-2.920000076,1792.287109,263.0639648,1811.48999,Measured,-8.350000381,4.855643107,113.7685901,-4.03000021,-8.005249532,1.0863929,69.692,92.18,74.68285314,-3.75999999,-4.899387597
75.49659986,-2.35,3.83,0.31,-3.52,95.06979241,1.259259259,23.46999931,0.730000019,5959.900879,557.0801392,5985.879883,Measured,-5.340000153,75.29527809,138.2655296,-1.539999962,-3.729221441,1.0863929,69.692,92.18,129.3963251,-1.399999976,-3.160542547
73.99785254,-2.06,3.1,-2.32,-5.42,90.86434979,1.227932253,22.86000061,-1.519999981,4537.400879,1706.400635,4847.660156,Measured,-20.61000061,61.31889939,124.8906353,-8.920000076,-19.35695621,1.0863929,69.692,92.18,122.5721805,-8.829999924,-18.82108386
73.21492484,-3.26,4.73,-0.64,-5.37,82.69953745,1.129544797,14.18000031,0.059999999,3984.308838,41.0296402,3984.52002,Measured,-0.589999974,24.47506574,108.8801373,-0.059999999,-0.109361331,1.0863929,69.692,92.18,93.41644594,-0.07,-0.120297462
73.2372942,-2.92,3.03,3.43,0.4,80.95472134,1.105375645,22.32999992,3.190000057,3712.896484,-453.2554016,3740.459961,Measured,6.960000038,45.14435771,113.0796167,5.360000134,10.57524068,1.0863929,69.692,92.18,103.9042018,5.25,9.503499104
